userID,gender
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,2
389,1
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,1
532,1
533,0
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,0
604,1
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,1
613,1
614,0
615,0
616,0
617,1
618,1
619,1
620,0
621,0
622,1
623,0
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,0
647,1
648,2
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,1
691,0
692,1
693,0
694,0
695,0
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,0
704,1
705,0
706,0
707,1
708,1
709,2
710,1
711,1
712,1
713,1
714,1
715,0
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,1
731,1
732,1
733,0
734,0
735,1
736,0
737,1
738,0
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,1
768,0
769,0
770,0
771,1
772,1
773,1
774,1
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,1
800,1
801,1
802,0
803,0
804,1
805,1
806,0
807,1
808,1
809,1
810,0
811,0
